iter	Logloss
130	0.2666664681
131	0.2666320631
132	0.2665924994
133	0.2665020745
134	0.2664675842
135	0.2664291556
136	0.2663944095
137	0.2663588567
138	0.2663344437
139	0.266309153
140	0.2662380541
141	0.2661845641
142	0.2661424155
143	0.2661126838
144	0.2660833578
145	0.2660547425
146	0.2660390362
147	0.2660010044
148	0.265969129
149	0.265919502
150	0.2658934658
151	0.2658664219
152	0.265836943
153	0.2658094241
154	0.2657703617
155	0.2657406131
156	0.2657015255
157	0.2656704186
158	0.2656418346
159	0.265588591
160	0.2655599735
161	0.2655428358
162	0.2655145297
163	0.2654985463
164	0.2654629736
165	0.2654338587
166	0.26540085
167	0.2653706359
168	0.2653015177
169	0.265271715
170	0.2652299223
171	0.2651938603
172	0.2651599623
173	0.2651402188
174	0.2651053568
175	0.2650845964
176	0.2650517656
177	0.2650315965
178	0.2649932792
179	0.2649614884
180	0.2649263164
181	0.2648753519
182	0.2648492682
183	0.2647905786
184	0.2647621857
185	0.2647048361
186	0.2646688825
187	0.2646363795
188	0.2645846406
189	0.2645413408
190	0.2644841229
191	0.264438578
192	0.2644144781
193	0.2643716797
194	0.2643395624
195	0.2642938109
196	0.264251327
197	0.2642235337
198	0.2641971032
199	0.2641476963
200	0.264107124
201	0.2640918859
202	0.2640558264
203	0.2640019675
204	0.2639726799
205	0.2639237544
206	0.263884291
207	0.2638585981
208	0.2638174273
209	0.2637771738
210	0.2637292556
211	0.2637112708
212	0.2636772705
213	0.2636435376
214	0.2635975865
215	0.2635474674
216	0.2635256287
217	0.2634773414
218	0.2634322915
219	0.2633641453
220	0.2633313099
221	0.2632923717
222	0.2632641034
223	0.263205844
224	0.2631485315
225	0.2631168727
226	0.2630774853
227	0.2630518255
228	0.2630047777
229	0.2629631768
230	0.2629161562
231	0.2628918891
232	0.2628543103
233	0.2628204304
234	0.2627536845
235	0.2627248981
236	0.2626887054
237	0.2626545604
238	0.2626261125
239	0.2626046672
240	0.2625735546
241	0.2625165838
242	0.2624595357
243	0.2624173211
244	0.2623786858
245	0.262337019
246	0.2623148842
247	0.2622870967
248	0.2622493384
249	0.2622218871
250	0.2621749805
251	0.2621501869
252	0.2621211617
253	0.262097431
254	0.2620644961
255	0.2620372278
256	0.2619950985
257	0.2619683577
258	0.2619328299
259	0.2619031689
260	0.261871815
261	0.261836076
262	0.2618108304
263	0.2617806707
264	0.261761033
265	0.261722349
266	0.2616916641
267	0.2616414791
268	0.2616125938
269	0.261571456
270	0.2615205302
271	0.2614987547
272	0.2614613702
273	0.2614249667
274	0.2613845422
275	0.261335694
276	0.2612909001
277	0.2612416967
278	0.2611984291
279	0.2611761474
280	0.2611527114
281	0.2611344021
282	0.2611013834
283	0.2610836801
284	0.2610551635
285	0.2610263842
286	0.2609765255
287	0.2609489545
288	0.2609141762
289	0.260884396
290	0.2608463203
291	0.2608240366
292	0.260795331
293	0.2607723373
294	0.2607412748
295	0.2607050947
296	0.2606965854
297	0.2606792571
298	0.2606269949
299	0.2605940227
300	0.2605615997
301	0.2605449991
302	0.2605183403
303	0.2604969399
304	0.2604558142
305	0.2604218435
306	0.2604002445
307	0.2603660301
308	0.2603389473
309	0.2603191336
310	0.2602828792
311	0.2602532236
312	0.2602199831
313	0.2601912795
314	0.2601693164
315	0.2601368603
316	0.260109487
317	0.2600651364
318	0.2600249978
319	0.2600156161
320	0.2599736765
321	0.2599407117
322	0.25990636
323	0.259888961
324	0.2598750521
325	0.2598421154
326	0.2598117827
327	0.2597766685
328	0.2597459841
329	0.2597197759
330	0.2596902212
331	0.2596638961
332	0.259627266
333	0.2596033388
334	0.2595340154
335	0.2594975333
336	0.2594683627
337	0.2594417481
338	0.259408771
339	0.2593744226
340	0.2593491355
341	0.2593187886
342	0.2592956387
343	0.2592630886
344	0.2592377061
345	0.2592025968
346	0.2591752387
347	0.2591542363
348	0.2591225706
349	0.2590884817
350	0.2590614041
351	0.2590011484
352	0.2589607275
353	0.2589345674
354	0.2588875931
355	0.2588500961
356	0.258824063
357	0.2588029444
358	0.2587645255
359	0.2587165799
360	0.2586739012
361	0.2586175717
362	0.258574204
363	0.2585311676
364	0.2585032691
365	0.2584668776
366	0.25842892
367	0.2584179902
368	0.2583905656
369	0.2583599468
370	0.2583359335
371	0.2583103262
372	0.2582799548
373	0.2582377206
374	0.2582109709
375	0.2581747894
376	0.2581454433
377	0.2581270258
378	0.2580744491
379	0.2580491629
380	0.2580189503
381	0.2579903845
382	0.2579572599
383	0.2579278641
384	0.2579104911
385	0.2578705051
386	0.2578327118
387	0.2578037923
388	0.257776959
389	0.2577482967
390	0.2577350214
391	0.257682811
392	0.2576553031
393	0.2576199186
394	0.2575842186
395	0.2575463905
396	0.2575200877
397	0.2574942404
398	0.2574555003
399	0.2574263745
400	0.2573815302
401	0.257351062
402	0.2573190266
403	0.2572845804
404	0.2572315658
405	0.2572043678
406	0.2571607729
407	0.257128873
408	0.2570975626
409	0.2570634902
410	0.2570369543
411	0.2570115868
412	0.2569636333
413	0.2569337046
414	0.2569027899
415	0.2568800919
416	0.2568470209
417	0.2567949993
418	0.2567690508
419	0.2567476937
420	0.2567357968
421	0.2567135477
422	0.2566776958
423	0.2566514514
424	0.2566253746
425	0.2565897697
426	0.2565425524
427	0.2565141024
428	0.2564841678
429	0.256440715
430	0.2564042418
431	0.256369104
432	0.2563184392
433	0.2562816163
434	0.2562639526
435	0.2562289311
436	0.2562056243
437	0.2561729472
438	0.2561454062
439	0.2561139461
440	0.2560734194
441	0.2560651202
442	0.2560339267
443	0.2560130626
444	0.2559841576
445	0.2559391609
446	0.2558986217
447	0.2558730073
448	0.2558453121
449	0.2558104285
450	0.2557664738
451	0.2557313628
452	0.2557171507
453	0.2556700013
454	0.2556471719
455	0.2556226215
456	0.2555953353
457	0.2555720043
458	0.2555409644
459	0.2555141
460	0.255479172
461	0.2554345705
462	0.2554113382
463	0.2553931908
464	0.2553520588
465	0.2553303657
466	0.255283969
467	0.2552517975
468	0.255218453
469	0.255199088
470	0.2551670032
471	0.2551425017
472	0.2551136205
473	0.2550793948
474	0.2550439758
475	0.2550195927
476	0.2549965895
477	0.254976844
478	0.2549243654
479	0.2548930276
480	0.2548510076
481	0.2548080523
482	0.2547782266
483	0.2547504341
484	0.2547103921
485	0.2546743897
486	0.254650337
487	0.2546322264
488	0.2545940168
489	0.2545714645
490	0.2545594158
491	0.2545401652
492	0.2545064644
493	0.2544761633
494	0.2544191467
495	0.2543951034
496	0.2543674246
497	0.254342636
498	0.2543051103
499	0.2542891049
500	0.2542563904
501	0.2542296694
502	0.2542020913
503	0.2541709535
504	0.2541356681
505	0.2540979091
506	0.2540743774
507	0.254040147
508	0.2540152119
509	0.2539894873
510	0.2539451565
511	0.253920166
512	0.2539056072
513	0.253869648
514	0.2538389575
515	0.2538150588
516	0.2537786443
517	0.2537543544
518	0.2537335276
519	0.2537153635
520	0.2536897977
521	0.2536639642
522	0.2536417543
523	0.2535965565
524	0.253560883
525	0.2535164316
526	0.2534924448
527	0.2534519115
528	0.2534231618
529	0.25340421
530	0.2533928511
531	0.2533767144
532	0.2533401864
533	0.2533098172
534	0.2532920213
535	0.2532685757
536	0.2532469093
537	0.253223344
538	0.2531864893
539	0.2531768025
540	0.2531423834
541	0.2531231632
542	0.2531021257
543	0.2530901121
544	0.2530643726
545	0.2530432931
546	0.253016448
547	0.2529746337
548	0.2529367739
549	0.2529043371
550	0.2528678514
551	0.2528393396
552	0.2528060394
553	0.2527843644
554	0.2527424315
555	0.252699069
556	0.2526790679
557	0.2526421991
558	0.2526152187
559	0.2525908498
560	0.252567989
561	0.2525464214
562	0.2525209228
563	0.2524935976
564	0.2524697055
565	0.2524386079
566	0.2524105502
567	0.2523939753
568	0.2523566965
569	0.2523368956
570	0.2523164826
571	0.2522885855
572	0.2522683293
573	0.2522251174
574	0.2522017788
575	0.2521822379
576	0.2521590854
577	0.2521324901
578	0.2521025078
579	0.2520695058
580	0.2520312196
581	0.2519925452
582	0.2519597602
583	0.2519354203
584	0.2519002462
585	0.2518666922
586	0.25184388
587	0.2518266983
588	0.2518033304
589	0.2517626837
590	0.2517429679
591	0.2517175854
592	0.2516899134
593	0.2516665777
594	0.2516411155
595	0.2516314435
596	0.2516004503
597	0.2515708996
598	0.2515510637
599	0.2515296093
600	0.251503174
601	0.2514675135
602	0.2514376161
603	0.2514114307
604	0.2513869089
605	0.251353322
606	0.2513116807
607	0.2512709287
608	0.2512396139
609	0.2511987763
610	0.2511747417
611	0.2511348451
612	0.251084017
613	0.2510650198
614	0.2510393049
615	0.2510103209
616	0.2509844634
617	0.2509590139
618	0.2509386125
619	0.2509212647
620	0.2508818112
621	0.2508490496
622	0.2508297432
623	0.2507982648
624	0.25078168
625	0.2507538413
626	0.2507263786
627	0.2506967707
628	0.2506705344
629	0.2506461203
630	0.250626079
631	0.250597917
632	0.2505700367
633	0.2505512538
634	0.250532094
635	0.250513718
636	0.250475044
637	0.2504492291
638	0.2504217828
639	0.2504054257
640	0.2503720621
641	0.2503497615
642	0.2503271895
643	0.2503008352
644	0.2502842854
645	0.2502532519
646	0.2502146086
647	0.2501954396
648	0.25016224
649	0.2501436575
650	0.2501179322
651	0.2500901817
652	0.2500677889
653	0.2500562525
654	0.2500486302
655	0.250026457
656	0.2500007552
657	0.2499687475
658	0.2499140852
659	0.2498854047
660	0.2498660326
661	0.2498433829
662	0.2498097568
663	0.2497929261
664	0.2497686367
665	0.2497397812
666	0.2497091405
667	0.2496815946
668	0.2496581562
669	0.2496413492
670	0.2496174089
671	0.2495864013
672	0.249563686
673	0.2495364574
674	0.2495139061
675	0.2494920112
676	0.2494688529
677	0.2494339243
678	0.249421003
679	0.2493900754
680	0.2493677925
681	0.2493458774
682	0.2493171725
683	0.2492868524
684	0.2492635149
685	0.2492353672
686	0.2492090184
687	0.2491799515
688	0.2491615009
689	0.249128852
690	0.2491006389
691	0.2490757522
692	0.2490295312
693	0.2490083408
694	0.2489841006
695	0.2489557071
696	0.2489268614
697	0.248882789
698	0.2488699781
699	0.2488516131
700	0.2488165397
701	0.2487944264
702	0.2487793264
703	0.2487687597
704	0.2487457532
705	0.2487245172
706	0.2486863878
707	0.248665551
708	0.2486481245
709	0.2486169656
710	0.2485984658
711	0.2485700047
712	0.2485604062
713	0.2485252156
714	0.2484907759
715	0.2484734093
716	0.2484480017
717	0.2484288557
718	0.2484133424
719	0.2483805371
720	0.2483553377
721	0.2483277902
722	0.2483027276
723	0.2482748819
724	0.2482592055
725	0.2482318481
726	0.248217001
727	0.2481889572
728	0.2481531382
729	0.2481205628
730	0.2480971985
731	0.2480791325
732	0.2480458066
733	0.2480124545
734	0.2479954878
735	0.247981782
736	0.2479499515
737	0.2479331104
738	0.2479043747
739	0.2478807783
740	0.2478527777
741	0.2478212793
742	0.2477867104
743	0.2477566624
744	0.247732717
745	0.2477022526
746	0.2476778915
747	0.2476466259
748	0.247627522
749	0.2476032499
750	0.2475785708
751	0.2475538885
752	0.2475359162
753	0.2475074536
754	0.2474870178
755	0.2474653224
756	0.2474450136
757	0.2474048891
758	0.2473654076
759	0.2473467609
760	0.2473271755
761	0.2473155666
762	0.247293695
763	0.2472572537
764	0.2472281657
765	0.2472128393
766	0.2471919755
767	0.2471691212
768	0.2471388834
769	0.2471211831
770	0.2470913528
771	0.2470624218
772	0.2470418657
773	0.2470129715
774	0.2469930563
775	0.2469629846
776	0.2469414854
777	0.246916572
778	0.2468898679
779	0.2468552584
780	0.2468392649
781	0.2468079391
782	0.2467912357
783	0.2467568697
784	0.2467194008
785	0.2466907303
786	0.2466527426
787	0.2466226423
788	0.2466082608
789	0.2465854138
790	0.2465679797
791	0.2465457804
792	0.2465156148
793	0.2464837514
794	0.2464651158
795	0.2464342046
796	0.2463850905
797	0.2463592614
798	0.2463130995
799	0.2462803922
800	0.2462450195
801	0.2462233577
802	0.2462031265
803	0.2461773127
804	0.2461617903
805	0.2461393407
806	0.2461216703
807	0.2460970951
808	0.2460694559
809	0.2460432361
810	0.2460157419
811	0.245999833
812	0.2459707282
813	0.2459463099
814	0.2459153739
815	0.2458958011
816	0.2458785942
817	0.2458465933
818	0.2458198939
819	0.2457982923
820	0.2457749029
821	0.2457507578
822	0.2457258481
823	0.2457067833
824	0.2456849402
825	0.2456517882
826	0.2456263656
827	0.2456016784
828	0.2455642431
829	0.2455384933
830	0.2455106794
831	0.2454686631
832	0.2454371307
833	0.2454081452
834	0.2453744204
835	0.2453527875
836	0.2453360061
837	0.2453131767
838	0.2452884682
839	0.245262582
840	0.245238509
841	0.2452201562
842	0.245201859
843	0.2451803717
844	0.2451484607
845	0.2451272622
846	0.2450907194
847	0.2450737462
848	0.2450582046
849	0.2450424381
850	0.2450168774
851	0.2449965199
852	0.2449829026
853	0.244945963
854	0.2449263845
855	0.2449112111
856	0.2448962575
857	0.2448765158
858	0.2448588908
859	0.2448291439
860	0.2448146322
861	0.2447914568
862	0.2447535651
863	0.2447337346
864	0.2447089902
865	0.2446867505
866	0.2446709398
867	0.2446469678
868	0.2446350621
869	0.2446014072
870	0.2445678524
871	0.2445421312
872	0.2445257111
873	0.2445079998
874	0.2444797122
875	0.2444406263
876	0.2444272991
877	0.244411681
878	0.2443872613
879	0.2443622693
880	0.2443363271
881	0.2443017399
882	0.2442752609
883	0.2442353331
884	0.2442134405
885	0.2441807649
886	0.244157507
887	0.244136326
888	0.2441108326
889	0.2440856059
890	0.2440689789
891	0.2440471071
892	0.2440253666
893	0.2439968372
894	0.2439646673
895	0.2439348186
896	0.2439048653
897	0.2438797717
898	0.2438637444
899	0.243847565
900	0.2438260974
901	0.2438071108
902	0.2437885836
903	0.2437591522
904	0.2437355918
905	0.2437046328
906	0.2436802697
907	0.2436574787
908	0.2436351834
909	0.2436152846
910	0.2436040068
911	0.2435829239
912	0.2435459326
913	0.243527642
914	0.2435000298
915	0.2434640906
916	0.2434467922
917	0.2434136304
918	0.2434044874
919	0.2433871636
920	0.2433605844
921	0.2433491368
922	0.2433109079
923	0.2432856654
924	0.243263011
925	0.2432371724
926	0.2432033049
927	0.2431848248
928	0.2431625897
929	0.243140888
930	0.2431167025
931	0.2430988118
932	0.2430714309
933	0.2430474693
934	0.2430336391
935	0.2430154778
936	0.2429979638
937	0.2429742666
938	0.2429578373
939	0.2429346089
940	0.2429069446
941	0.2428778906
942	0.2428500296
943	0.2428371812
944	0.2428097725
945	0.2427950392
946	0.2427741039
947	0.2427595043
948	0.2427361026
949	0.2427167793
950	0.2426817101
951	0.2426602856
952	0.2426434387
953	0.2426376693
954	0.2426195875
955	0.242590115
956	0.2425730232
957	0.2425549219
958	0.2425386175
959	0.2425129194
960	0.2424925092
961	0.2424656187
962	0.2424274787
963	0.2424028766
964	0.2423753155
965	0.2423604106
966	0.2423403864
967	0.2423227877
968	0.2422980209
969	0.2422705908
970	0.2422566164
971	0.2422371858
972	0.2422013492
973	0.2421889755
974	0.2421680909
975	0.2421492146
976	0.2421296153
977	0.2421092222
978	0.2420897952
979	0.2420447805
980	0.2420258859
981	0.2419992858
982	0.2419796277
983	0.2419720593
984	0.2419369549
985	0.2419161615
986	0.2419040518
987	0.2418771927
988	0.2418600746
989	0.2418238524
990	0.2417911929
991	0.2417690197
992	0.2417604342
993	0.241728838
994	0.2416918519
995	0.2416637941
996	0.2416391717
997	0.2416232289
998	0.2415973329
999	0.2415762201
